ip,port,protocol,title,domain,country,city,link,as_organization
158.180.74.240,443,https,403 Forbidden,,KR,Chuncheon,https://158.180.74.240,ORACLE-BMC-31898
193.123.240.198,443,https,403 Forbidden,,KR,Seoul,https://193.123.240.198,ORACLE-BMC-31898
146.56.146.138,443,https,403 Forbidden,,KR,Seoul,https://146.56.146.138,ORACLE-BMC-31898
144.24.65.56,443,https,403 Forbidden,,KR,Chuncheon,https://144.24.65.56,ORACLE-BMC-31898
144.24.76.119,443,https,403 Forbidden,,KR,Chuncheon,https://144.24.76.119,ORACLE-BMC-31898
64.110.78.149,443,https,403 Forbidden,,KR,Seoul,https://64.110.78.149,ORACLE-BMC-31898
130.162.132.157,443,https,403 Forbidden,,KR,Seoul,https://130.162.132.157,ORACLE-BMC-31898
132.226.236.172,443,https,403 Forbidden,,KR,Seoul,https://132.226.236.172,ORACLE-BMC-31898
49.238.236.255,443,https,403 Forbidden,,KR,Seoul,https://49.238.236.255,DREAMMARK1
152.67.206.69,443,https,403 Forbidden,,KR,Chuncheon,https://152.67.206.69,ORACLE-BMC-31898
193.123.244.41,443,https,403 Forbidden,,KR,Seoul,https://193.123.244.41,ORACLE-BMC-31898
158.180.93.90,443,https,403 Forbidden,,KR,Chuncheon,https://158.180.93.90,ORACLE-BMC-31898
158.180.90.154,443,https,403 Forbidden,,KR,Chuncheon,https://158.180.90.154,ORACLE-BMC-31898
146.56.156.80,443,https,403 Forbidden,,KR,Seoul,https://146.56.156.80,ORACLE-BMC-31898
112.196.222.47,443,https,403 Forbidden,,KR,Suwon,https://112.196.222.47,Ntte Global Network Brand Name
131.186.26.199,443,https,403 Forbidden,,KR,Seoul,https://131.186.26.199,ORACLE-BMC-31898
61.110.3.92,443,https,403 Forbidden,,KR,Seoul,https://61.110.3.92,Shinbiro
152.69.233.211,443,https,403 Forbidden,,KR,Chuncheon,https://152.69.233.211,ORACLE-BMC-31898
