IP地址,端口,回源端口
35.201.203.106,443,443
35.194.154.249,443,443
220.143.33.174,443,443
103.153.176.171,443,443
111.240.140.112,10255,10255
35.201.185.213,443,443
111.255.214.65,10080,10080
211.21.210.55,443,443
36.225.31.115,4443,4443
34.80.252.53,443,443
122.117.232.81,443,443
36.237.177.238,443,443
45.129.78.142,443,443
23.48.191.192,443,443
23.46.63.123,443,443
35.221.166.188,80,80
111.251.207.236,18081,18081
103.137.247.29,443,443
36.237.27.16,27017,27017
34.80.81.72,443,443
111.252.68.105,11211,11211
103.129.178.175,443,443
106.105.234.48,28017,28017
35.206.224.220,443,443
219.85.167.29,34599,34599
35.221.166.188,443,443
1.162.80.117,12000,12000
103.137.63.33,443,443
35.229.187.31,443,443
36.237.140.49,443,443
61.223.129.79,443,443
220.143.0.153,443,443
220.143.16.106,443,443
1.162.156.243,8222,8222
114.41.72.60,443,443
36.237.158.28,443,443
118.166.29.24,443,443
36.237.134.64,443,443
35.221.166.188,80,80
35.221.166.188,443,443
111.249.251.172,8080,8080
103.24.55.142,443,443
125.230.213.16,20201,20201
218.172.20.57,18080,18080
59.120.116.28,10000,10000
218.172.44.213,18080,18080
59.120.116.28,18080,18080
1.162.63.204,8222,8222
45.121.50.95,10443,10443
36.227.82.79,10002,10002
36.237.5.3,27017,27017
111.249.222.66,8080,8080
35.221.166.188,80,80
1.169.227.6,10443,10443
35.221.166.188,443,443
36.238.209.239,443,443
36.238.208.149,443,443
111.253.198.155,443,443
111.240.82.221,10218,10218
118.166.209.150,4443,4443
60.250.125.21,443,443
36.238.206.38,443,443
37.128.253.205,443,443
111.255.20.166,10005,10005
61.223.135.83,443,443
111.249.230.247,8080,8080
118.165.36.138,12300,12300
185.248.184.237,8443,8443
37.128.253.205,443,443
35.194.235.5,80,80
35.194.235.5,443,443
96.17.3.59,80,80
96.17.3.59,80,80
36.229.69.221,10101,10101
35.221.166.188,443,443
35.221.166.188,80,80
96.17.3.59,443,443
114.24.16.206,10002,10002
103.148.73.167,20002,20002
168.95.1.1,80,80
61.61.69.11,443,443
220.130.80.179,80,80
220.143.6.160,443,443
220.143.33.77,443,443
34.80.151.203,443,443
36.238.194.170,443,443
104.199.178.110,443,443
23.41.129.5,443,443
23.41.129.5,80,80
210.71.227.41,443,443
36.239.212.88,10120,10120
114.41.0.192,51000,51000
111.249.197.186,8080,8080
1.164.133.215,12300,12300
1.170.211.61,10443,10443
103.24.54.28,80,80
103.24.54.28,443,443
36.237.186.130,443,443
103.115.108.186,443,443
210.209.224.135,33333,33333
45.121.50.204,443,443
36.232.36.238,10443,10443
111.251.214.120,10443,10443
104.199.197.72,443,443
108.165.144.109,2083,2083
61.227.66.167,28017,28017
111.248.89.19,23424,23424
125.230.242.186,20201,20201
218.172.37.54,18080,18080
36.227.126.114,10002,10002
1.164.132.162,12300,12300
